----- Execution time for 5 elements -----
Number	Tetra. Value Execution time(in ns)
1	0	1326446
2	0	403
3	1	2613
4	1	3943
5	2	3919


----- Execution time for 10 elements -----
Number	Tetra. Value Execution time(in ns)
1	0	184
2	0	186
3	1	185
4	1	681
5	2	1888
6	4	3409
7	8	5670
8	15	30808
9	29	33029
10	56	57533


----- Execution time for 15 elements -----
Number	Tetra. Value Execution time(in ns)
1	0	213
2	0	235
3	1	239
4	1	1010
5	2	2252
6	4	3403
7	8	7434
8	15	14122
9	29	20234
10	56	48431
11	108	59501
12	208	106867
13	401	164875
14	773	242857
15	1490	509256


----- Execution time for 20 elements -----
Number	Tetra. Value Execution time(in ns)
1	0	309
2	0	187
3	1	246
4	1	318
5	2	515
6	4	581
7	8	851
8	15	1595
9	29	3284
10	56	6616
11	108	14919
12	208	29417
13	401	50649
14	773	126108
15	1490	184465
16	2872	254004
17	5536	418836
18	10671	807869
19	20569	5000756
20	39648	3271126


----- Execution time for 25 elements -----
Number	Tetra. Value Execution time(in ns)
1	0	244
2	0	125
3	1	117
4	1	159
5	2	250
6	4	282
7	8	454
8	15	2875
9	29	1376
10	56	4673
11	108	8737
12	208	18082
13	401	28501
14	773	55097
15	1490	125680
16	2872	200333
17	5536	429678
18	10671	746804
19	20569	1449237
20	39648	2844698
21	76424	6472776
22	147312	11213540
23	283953	18179610
24	547337	19858670
25	1055026	43948852


----- Execution time for 30 elements -----
Number	Tetra. Value Execution time(in ns)
1	0	261
2	0	125
3	1	127
4	1	183
5	2	249
6	4	320
7	8	426
8	15	568
9	29	884
10	56	1578
11	108	2752
12	208	5100
13	401	9710
14	773	19201
15	1490	36882
16	2872	70027
17	5536	170430
18	10671	449807
19	20569	640215
20	39648	1035917
21	76424	1935138
22	147312	3789546
23	283953	7012289
24	547337	14416621
25	1055026	31878459
26	2033628	70568007
27	3919944	124816904
28	7555935	220696643
29	14564533	478853953
30	28074040	657811542


