----- Execution time for 5 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	961429
2	0	831
3	1	854
4	1	5198
5	2	4761


----- Execution time for 10 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	638
2	0	472
3	1	404
4	1	1242
5	2	2375
6	4	3305
7	8	4311
8	15	7903
9	29	14367
10	56	7486


----- Execution time for 15 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	563
2	0	464
3	1	704
4	1	1252
5	2	2282
6	4	3312
7	8	7094
8	15	6765
9	29	9758
10	56	13508
11	108	10716
12	208	20735
13	401	17353
14	773	14295
15	1490	22994


----- Execution time for 20 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	672
2	0	491
3	1	429
4	1	1066
5	2	2198
6	4	3076
7	8	3929
8	15	4605
9	29	6239
10	56	13681
11	108	8662
12	208	12053
13	401	10028
14	773	12835
15	1490	11814
16	2872	13600
17	5536	17008
18	10671	17169
19	20569	24258
20	39648	21324


----- Execution time for 25 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	636
2	0	451
3	1	398
4	1	1285
5	2	14299
6	4	2816
7	8	3155
8	15	3755
9	29	6913
10	56	5373
11	108	8115
12	208	7571
13	401	9753
14	773	17104
15	1490	11890
16	2872	40263
17	5536	11728
18	10671	12190
19	20569	12871
20	39648	14050
21	76424	14087
22	147312	14869
23	283953	20922
24	547337	23209
25	1055026	23535


----- Execution time for 30 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	4291
2	0	2036
3	1	1625
4	1	70372
5	2	5053
6	4	3660
7	8	18328
8	15	4169
9	29	4668
10	56	13060
11	108	10546
12	208	18103
13	401	8362
14	773	13051
15	1490	11246
16	2872	8043
17	5536	13978
18	10671	20330
19	20569	10404
20	39648	7382
21	76424	2722
22	147312	2164
23	283953	4217
24	547337	104448
25	1055026	9628
26	2033628	6822
27	3919944	6788
28	7555935	7500
29	14564533	6771
30	28074040	7500


----- Execution time for 35 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	746
2	0	529
3	1	680
4	1	1026
5	2	804
6	4	764
7	8	1154
8	15	1071
9	29	1040
10	56	1251
11	108	1309
12	208	6172
13	401	1429
14	773	7103
15	1490	5355
16	2872	1620
17	5536	8722
18	10671	5158
19	20569	5817
20	39648	4889
21	76424	5514
22	147312	2634
23	283953	6931
24	547337	5690
25	1055026	6068
26	2033628	7919
27	3919944	6926
28	7555935	7598
29	14564533	6366
30	28074040	7207
31	54114452	19796
32	104308960	27957
33	201061985	10501
34	387559437	7099
35	747044834	7646


----- Execution time for 40 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	708
2	0	412
3	1	338
4	1	761
5	2	1022
6	4	1070
7	8	882
8	15	21680
9	29	926
10	56	982
11	108	1116
12	208	1311
13	401	3799
14	773	1324
15	1490	23490
16	2872	5216
17	5536	3592
18	10671	1889
19	20569	2945
20	39648	4050
21	76424	20620
22	147312	4086
23	283953	23081
24	547337	4568
25	1055026	4370
26	2033628	5652
27	3919944	5295
28	7555935	5432
29	14564533	5325
30	28074040	5491
31	54114452	4490
32	104308960	69099
33	201061985	8099
34	387559437	9718
35	747044834	6072
36	1439975216	7987
37	2775641472	6027
38	5350220959	6215
39	10312882481	25444
40	19878720128	17887


----- Execution time for 45 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	626
2	0	674
3	1	663
4	1	918
5	2	942
6	4	1242
7	8	1322
8	15	1665
9	29	1668
10	56	2112
11	108	2163
12	208	2054
13	401	2882
14	773	8658
15	1490	2769
16	2872	6558
17	5536	6714
18	10671	8292
19	20569	7680
20	39648	4036
21	76424	8731
22	147312	10914
23	283953	9114
24	547337	8978
25	1055026	4768
26	2033628	8695
27	3919944	8588
28	7555935	12823
29	14564533	8804
30	28074040	40980
31	54114452	11673
32	104308960	12751
33	201061985	10113
34	387559437	10328
35	747044834	10243
36	1439975216	12877
37	2775641472	13416
38	5350220959	11572
39	10312882481	12160
40	19878720128	10099
41	38317465040	15403
42	73859288608	13358
43	142368356257	15947
44	274423830033	16605
45	528968939938	14882


----- Execution time for 50 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	1213
2	0	638
3	1	1210
4	1	1295
5	2	1044
6	4	1218
7	8	1244
8	15	9495
9	29	5041
10	56	1135
11	108	4408
12	208	1163
13	401	3037
14	773	1181
15	1490	3156
16	2872	3633
17	5536	1555
18	10671	1554
19	20569	3328
20	39648	5184
21	76424	5515
22	147312	3821
23	283953	4956
24	547337	4559
25	1055026	4177
26	2033628	5212
27	3919944	4061
28	7555935	3922
29	14564533	4188
30	28074040	4301
31	54114452	5821
32	104308960	4363
33	201061985	4587
34	387559437	4662
35	747044834	6201
36	1439975216	7132
37	2775641472	5227
38	5350220959	5159
39	10312882481	6820
40	19878720128	8717
41	38317465040	7134
42	73859288608	7474
43	142368356257	7023
44	274423830033	7792
45	528968939938	7572
46	1019620414836	7826
47	1965381541064	7483
48	3788394725871	7419
49	7302365621709	9557
50	14075762303480	7741


----- Execution time for 55 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	780
2	0	258
3	1	446
4	1	835
5	2	596
6	4	563
7	8	723
8	15	749
9	29	794
10	56	855
11	108	3191
12	208	1322
13	401	1201
14	773	14600
15	1490	3910
16	2872	1349
17	5536	1799
18	10671	3785
19	20569	3815
20	39648	3732
21	76424	3832
22	147312	3779
23	283953	5299
24	547337	4041
25	1055026	3982
26	2033628	12761
27	3919944	4004
28	7555935	3946
29	14564533	5760
30	28074040	3989
31	54114452	5717
32	104308960	5133
33	201061985	5794
34	387559437	4509
35	747044834	6139
36	1439975216	4591
37	2775641472	4954
38	5350220959	8906
39	10312882481	6240
40	19878720128	6689
41	38317465040	7970
42	73859288608	7473
43	142368356257	6578
44	274423830033	7160
45	528968939938	7596
46	1019620414836	8636
47	1965381541064	8220
48	3788394725871	7533
49	7302365621709	8081
50	14075762303480	8026
51	27131904192124	7885
52	52298426843184	8143
53	100808458960497	10528
54	194314552299285	9058
55	374553342295090	10757


----- Execution time for 60 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	387
2	0	317
3	1	249
4	1	365
5	2	444
6	4	491
7	8	621
8	15	664
9	29	738
10	56	811
11	108	3036
12	208	983
13	401	4703
14	773	1650
15	1490	1305
16	2872	3271
17	5536	1442
18	10671	1505
19	20569	3560
20	39648	3878
21	76424	3798
22	147312	3837
23	283953	46925
24	547337	4244
25	1055026	3901
26	2033628	3917
27	3919944	4572
28	7555935	4204
29	14564533	4412
30	28074040	7848
31	54114452	5130
32	104308960	4258
33	201061985	4186
34	387559437	6127
35	747044834	4700
36	1439975216	6392
37	2775641472	4893
38	5350220959	5143
39	10312882481	7524
40	19878720128	6829
41	38317465040	7499
42	73859288608	7238
43	142368356257	7403
44	274423830033	7479
45	528968939938	7359
46	1019620414836	8399
47	1965381541064	7439
48	3788394725871	8988
49	7302365621709	8505
50	14075762303480	8405
51	27131904192124	7873
52	52298426843184	7958
53	100808458960497	9802
54	194314552299285	8375
55	374553342295090	17342
56	721974780398056	9259
57	1391651133952928	8242
58	2682493808945359	9841
59	5170673065591433	10048
60	9966792788887776	9122


----- Execution time for 65 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	419
2	0	296
3	1	245
4	1	366
5	2	464
6	4	489
7	8	613
8	15	660
9	29	743
10	56	810
11	108	2752
12	208	992
13	401	2861
14	773	1088
15	1490	3039
16	2872	3395
17	5536	1779
18	10671	1839
19	20569	3294
20	39648	3816
21	76424	3531
22	147312	3595
23	283953	4198
24	547337	3725
25	1055026	4196
26	2033628	3998
27	3919944	3862
28	7555935	3982
29	14564533	4003
30	28074040	5943
31	54114452	4307
32	104308960	4425
33	201061985	4988
34	387559437	4945
35	747044834	4682
36	1439975216	6596
37	2775641472	4622
38	5350220959	4945
39	10312882481	6558
40	19878720128	7189
41	38317465040	6880
42	73859288608	7056
43	142368356257	7495
44	274423830033	7473
45	528968939938	7269
46	1019620414836	7378
47	1965381541064	8111
48	3788394725871	7769
49	7302365621709	7970
50	14075762303480	7772
51	27131904192124	8029
52	52298426843184	8698
53	100808458960497	10488
54	194314552299285	8410
55	374553342295090	9969
56	721974780398056	13251
57	1391651133952928	15641
58	2682493808945359	17007
59	5170673065591433	17847
60	9966792788887776	15499
61	19211610797377496	16634
62	37031570460802064	15273
63	71380647112658769	18548
64	137590621159726105	17733
65	265214449530564434	18517


----- Execution time for 70 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	791
2	0	551
3	1	451
4	1	728
5	2	792
6	4	1005
7	8	1150
8	15	1304
9	29	5392
10	56	1661
11	108	1784
12	208	1978
13	401	4614
14	773	2409
15	1490	4807
16	2872	8901
17	5536	1962
18	10671	3890
19	20569	3935
20	39648	3806
21	76424	4004
22	147312	3784
23	283953	5348
24	547337	4042
25	1055026	4118
26	2033628	4031
27	3919944	4546
28	7555935	4269
29	14564533	4669
30	28074040	4693
31	54114452	4889
32	104308960	4297
33	201061985	7248
34	387559437	4454
35	747044834	6972
36	1439975216	7346
37	2775641472	5208
38	5350220959	6713
39	10312882481	7152
40	19878720128	7084
41	38317465040	54299
42	73859288608	39754
43	142368356257	25135
44	274423830033	25737
45	528968939938	26485
46	1019620414836	26621
47	1965381541064	26875
48	3788394725871	27794
49	7302365621709	28079
50	14075762303480	28821
51	27131904192124	33027
52	52298426843184	30766
53	100808458960497	30198
54	194314552299285	8433
55	374553342295090	10253
56	721974780398056	8441
57	1391651133952928	21211
58	2682493808945359	11043
59	5170673065591433	9112
60	9966792788887776	8471
61	19211610797377496	11242
62	37031570460802064	10615
63	71380647112658769	10730
64	137590621159726105	10548
65	265214449530564434	10270
66	511217288263751372	10977
67	985403006066700680	11740
68	1899425365020742591	10773
69	3661260108881759077	11842
70	7057305768232953720	11407


----- Execution time for 75 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	701
2	0	352
3	1	312
4	1	429
5	2	479
6	4	472
7	8	547
8	15	689
9	29	782
10	56	827
11	108	2718
12	208	1084
13	401	3043
14	773	1094
15	1490	3439
16	2872	10181
17	5536	1355
18	10671	1506
19	20569	3463
20	39648	3427
21	76424	3896
22	147312	3125
23	283953	3303
24	547337	3619
25	1055026	3568
26	2033628	3967
27	3919944	3582
28	7555935	4015
29	14564533	3569
30	28074040	5214
31	54114452	3940
32	104308960	4045
33	201061985	4367
34	387559437	4406
35	747044834	4360
36	1439975216	16470
37	2775641472	4743
38	5350220959	4763
39	10312882481	7095
40	19878720128	6511
41	38317465040	6951
42	73859288608	6658
43	142368356257	6221
44	274423830033	6703
45	528968939938	7243
46	1019620414836	7043
47	1965381541064	7158
48	3788394725871	7637
49	7302365621709	7368
50	14075762303480	7266
51	27131904192124	7441
52	52298426843184	7122
53	100808458960497	10977
54	194314552299285	38363
55	374553342295090	10252
56	721974780398056	7656
57	1391651133952928	8286
58	2682493808945359	9939
59	5170673065591433	9758
60	9966792788887776	8685
61	19211610797377496	9039
62	37031570460802064	8722
63	71380647112658769	10379
64	137590621159726105	10344
65	265214449530564434	10502
66	511217288263751372	9585
67	985403006066700680	12472
68	1899425365020742591	11388
69	3661260108881759077	11287
70	7057305768232953720	12874
71	13603394248202156068	12026
72	26221385490337611456	13778
73	50543345615654480321	11570
74	97425431122427201565	13790
75	187793556476621449410	11815


----- Execution time for 80 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	469
2	0	327
3	1	302
4	1	421
5	2	460
6	4	511
7	8	532
8	15	646
9	29	716
10	56	777
11	108	2513
12	208	1009
13	401	2921
14	773	1102
15	1490	3104
16	2872	3446
17	5536	1386
18	10671	1408
19	20569	3022
20	39648	3421
21	76424	3401
22	147312	3460
23	283953	3523
24	547337	3595
25	1055026	3756
26	2033628	3689
27	3919944	3691
28	7555935	3799
29	14564533	3954
30	28074040	6504
31	54114452	6717
32	104308960	8582
33	201061985	6892
34	387559437	7500
35	747044834	7021
36	1439975216	8790
37	2775641472	6977
38	5350220959	8504
39	10312882481	10569
40	19878720128	13259
41	38317465040	11380
42	73859288608	17389
43	142368356257	12830
44	274423830033	12384
45	528968939938	28912
46	1019620414836	51009
47	1965381541064	16787
48	3788394725871	15372
49	7302365621709	33354
50	14075762303480	12226
51	27131904192124	15685
52	52298426843184	15717
53	100808458960497	16343
54	194314552299285	14381
55	374553342295090	16702
56	721974780398056	14029
57	1391651133952928	15919
58	2682493808945359	17499
59	5170673065591433	17094
60	9966792788887776	15498
61	19211610797377496	15037
62	37031570460802064	17933
63	71380647112658769	20401
64	137590621159726105	21477
65	265214449530564434	21707
66	511217288263751372	16516
67	985403006066700680	20548
68	1899425365020742591	19654
69	3661260108881759077	20460
70	7057305768232953720	21709
71	13603394248202156068	20581
72	26221385490337611456	21935
73	50543345615654480321	21046
74	97425431122427201565	137766
75	187793556476621449410	55474
76	361983718705040742752	48298
77	697746051919743874048	51818
78	1344948758223833267775	61670
79	2592472085325239333985	51747
80	4997150614173857218560	33976


----- Execution time for 85 elements -----
Number	Tetranacci Value Execution time(in ns)
1	0	1053
2	0	775
3	1	537
4	1	918
5	2	854
6	4	1085
7	8	1266
8	15	3714
9	29	1510
10	56	1630
11	108	1855
12	208	1981
13	401	2082
14	773	4441
15	1490	3186
16	2872	5072
17	5536	4664
18	10671	2944
19	20569	3084
20	39648	5291
21	76424	6239
22	147312	5615
23	283953	5936
24	547337	6105
25	1055026	6195
26	2033628	6459
27	3919944	6514
